iter	Passed	Remaining
0	26	26635
1	69	34843
2	92	30651
3	146	36587
4	175	34840
5	244	40422
6	270	38381
7	299	37141
8	323	35582
9	364	36043
10	417	37545
11	441	36362
12	506	38434
13	528	37255
14	571	37553
15	598	36821
16	646	37400
17	701	38276
18	724	37381
19	767	37613
20	828	38608
21	855	38034
22	882	37493
23	905	36829
24	940	36668
25	961	36003
26	1002	36109
27	1023	35539
28	1081	36203
29	1123	36332
30	1165	36423
31	1188	35959
32	1225	35923
33	1250	35541
34	1277	35219
35	1301	34863
36	1358	35362
37	1382	34989
38	1415	34877
39	1441	34592
40	1492	34919
41	1522	34721
42	1551	34531
43	1592	34610
44	1617	34317
45	1642	34058
46	1683	34129
47	1731	34336
48	1755	34076
49	1789	33999
50	1815	33779
51	1898	34605
52	1939	34661
53	1972	34548
54	2004	34443
55	2027	34181
56	2091	34594
57	2120	34435
58	2144	34204
59	2173	34046
60	2209	34009
61	2304	34864
62	2327	34610
63	2362	34548
64	2393	34425
65	2418	34225
66	2483	34586
67	2519	34536
68	2543	34313
69	2574	34206
70	2611	34172
71	2632	33925
72	2669	33899
73	2690	33661
74	2735	33740
75	2758	33540
76	2781	33337
77	2810	33225
78	2830	32998
79	2853	32815
80	2907	32982
81	2928	32783
82	2973	32855
83	3000	32724
84	3049	32829
85	3075	32680
86	3140	32958
87	3191	33075
88	3214	32899
89	3261	32972
90	3340	33372
91	3364	33207
92	3409	33247
93	3458	33329
94	3514	33482
95	3534	33281
96	3576	33299
97	3598	33123
98	3656	33281
99	3681	33132
100	3734	33242
101	3778	33265
102	3806	33148
103	3852	33194
104	3888	33142
105	3917	33040
106	3944	32916
107	3974	32822
108	4001	32705
109	4022	32548
110	4064	32549
111	4123	32693
112	4145	32543
113	4187	32543
114	4233	32577
115	4254	32418
116	4285	32344
117	4331	32374
118	4372	32374
119	4397	32251
120	4453	32349
121	4512	32473
122	4534	32330
123	4571	32297
124	4593	32151
125	4677	32442
126	4703	32329
127	4800	32703
128	4836	32657
129	4858	32512
130	4911	32583
131	4937	32467
132	4988	32522
133	5014	32403
134	5044	32320
135	5091	32348
136	5114	32216
137	5161	32240
138	5186	32124
139	5220	32065
140	5261	32056
141	5286	31941
142	5328	31935
143	5368	31910
144	5395	31812
145	5444	31844
146	5466	31721
147	5553	31969
148	5604	32010
149	5647	32001
150	5674	31902
151	5731	31977
152	5783	32015
153	5806	31896
154	5833	31801
155	5853	31671
156	5886	31604
157	5940	31656
158	5965	31551
159	6016	31587
160	6043	31491
161	6069	31395
162	6096	31307
163	6144	31323
164	6168	31216
165	6230	31303
166	6267	31263
167	6298	31193
168	6325	31101
169	6354	31023
170	6381	30936
171	6428	30948
172	6450	30835
173	6482	30775
174	6503	30658
175	6551	30672
176	6608	30727
177	6646	30694
178	6673	30610
179	6716	30599
180	6742	30509
181	6786	30502
182	6812	30416
183	6844	30352
184	6869	30261
185	6919	30282
186	6963	30273
187	7031	30368
188	7085	30405
189	7138	30433
190	7195	30477
191	7256	30536
192	7298	30516
193	7325	30435
194	7364	30403
195	7407	30387
196	7461	30415
197	7500	30380
198	7531	30313
199	7607	30429
200	7693	30581
201	7734	30555
202	7790	30585
203	7814	30492
204	7858	30474
205	7914	30504
206	7942	30426
207	7984	30401
208	8009	30311
209	8037	30237
210	8087	30243
211	8162	30340
212	8220	30374
213	8245	30284
214	8307	30332
215	8356	30329
216	8382	30247
217	8426	30228
218	8470	30205
219	8534	30257
220	8561	30177
221	8627	30234
222	8725	30401
223	8754	30327
224	8800	30313
225	8860	30345
226	8883	30251
227	8912	30177
228	8937	30092
229	8995	30114
230	9021	30033
231	9090	30092
232	9119	30019
233	9176	30040
234	9225	30030
235	9274	30024
236	9297	29933
237	9324	29854
238	9348	29765
239	9426	29850
240	9470	29826
241	9529	29848
242	9557	29772
243	9597	29736
244	9624	29658
245	9693	29712
246	9738	29688
247	9788	29681
248	9867	29761
249	9915	29746
250	9960	29724
251	9988	29647
252	10050	29675
253	10090	29634
254	10118	29562
255	10168	29551
256	10214	29529
257	10241	29452
258	10322	29533
259	10390	29573
260	10456	29605
261	10491	29553
262	10517	29472
263	10558	29435
264	10609	29425
265	10634	29345
266	10726	29448
267	10796	29488
268	10822	29409
269	10878	29412
270	10941	29433
271	10986	29404
272	11044	29410
273	11067	29324
274	11111	29295
275	11180	29328
276	11222	29291
277	11255	29231
278	11282	29156
279	11325	29121
280	11374	29103
281	11400	29027
282	11456	29025
283	11500	28994
284	11525	28913
285	11579	28909
286	11610	28845
287	11646	28791
288	11694	28770
289	11738	28739
290	11761	28656
291	11795	28599
292	11835	28557
293	11882	28534
294	11908	28460
295	11955	28433
296	11978	28354
297	12071	28437
298	12099	28366
299	12136	28318
300	12197	28324
301	12220	28245
302	12268	28221
303	12322	28211
304	12377	28205
305	12402	28129
306	12458	28124
307	12513	28115
308	12554	28075
309	12580	28002
310	12658	28044
311	12682	27967
312	12780	28052
313	12806	27979
314	12855	27955
315	12922	27972
316	12953	27909
317	13009	27901
318	13058	27877
319	13116	27871
320	13152	27820
321	13181	27754
322	13243	27758
323	13284	27716
324	13341	27709
325	13370	27642
326	13419	27619
327	13458	27574
328	13511	27557
329	13551	27514
330	13577	27441
331	13623	27411
332	13658	27358
333	13684	27286
334	13750	27296
335	13805	27282
336	13853	27255
337	13877	27180
338	13928	27158
339	13969	27117
340	13998	27052
341	14048	27029
342	14076	26963
343	14110	26907
344	14133	26833
345	14170	26785
346	14212	26746
347	14241	26682
348	14301	26676
349	14358	26666
350	14381	26591
351	14414	26535
352	14445	26476
353	14469	26404
354	14511	26366
355	14535	26295
356	14560	26225
357	14592	26168
358	14625	26113
359	14660	26063
360	14689	26001
361	14722	25947
362	14746	25876
363	14777	25819
364	14801	25751
365	14862	25745
366	14910	25718
367	14962	25695
368	15001	25652
369	15024	25582
370	15070	25550
371	15133	25547
372	15159	25482
373	15195	25433
374	15247	25412
375	15305	25400
376	15350	25366
377	15386	25318
378	15451	25317
379	15480	25258
380	15509	25198
381	15568	25186
382	15622	25166
383	15652	25109
384	15681	25049
385	15728	25019
386	15761	24966
387	15825	24961
388	15858	24908
389	15911	24887
390	15942	24831
391	15969	24768
392	16027	24754
393	16069	24716
394	16129	24704
395	16234	24761
396	16262	24701
397	16297	24650
398	16350	24627
399	16386	24579
400	16404	24505
401	16449	24469
402	16471	24400
403	16525	24378
404	16552	24317
405	16602	24289
406	16629	24229
407	16661	24175
408	16704	24138
409	16751	24105
410	16775	24041
411	16812	23994
412	16866	23972
413	16959	24005
414	17021	23993
415	17048	23933
416	17083	23883
417	17110	23824
418	17161	23797
419	17188	23736
420	17226	23691
421	17268	23652
422	17308	23609
423	17331	23544
424	17437	23592
425	17466	23534
426	17517	23507
427	17577	23491
428	17627	23462
429	17676	23432
430	17723	23398
431	17772	23367
432	17833	23352
433	17861	23294
434	17916	23270
435	17941	23209
436	18069	23278
437	18132	23265
438	18158	23204
439	18197	23160
440	18257	23142
441	18283	23082
442	18353	23077
443	18388	23027
444	18447	23007
445	18473	22946
446	18507	22895
447	18555	22863
448	18583	22804
449	18621	22759
450	18693	22755
451	18722	22698
452	18765	22658
453	18821	22635
454	18848	22576
455	18895	22542
456	18952	22519
457	18994	22478
458	19045	22448
459	19076	22394
460	19103	22336
461	19134	22281
462	19232	22306
463	19282	22274
464	19310	22217
465	19343	22165
466	19377	22116
467	19402	22055
468	19435	22005
469	19484	21971
470	19513	21916
471	19551	21870
472	19591	21827
473	19638	21793
474	19671	21742
475	19700	21686
476	19740	21644
477	19783	21605
478	19808	21545
479	19923	21583
480	19952	21528
481	19995	21488
482	20049	21460
483	20080	21408
484	20114	21358
485	20212	21376
486	20276	21359
487	20333	21333
488	20356	21271
489	20428	21262
490	20454	21204
491	20513	21180
492	20536	21120
493	20606	21107
494	20714	21133
495	20744	21079
496	20785	21036
497	20880	21047
498	20924	21008
499	20950	20950
500	21046	20962
501	21070	20902
502	21121	20869
503	21149	20813
504	21202	20783
505	21226	20722
506	21278	20691
507	21305	20634
508	21345	20590
509	21397	20558
510	21420	20497
511	21463	20457
512	21488	20399
513	21543	20370
514	21607	20348
515	21627	20285
516	21683	20257
517	21710	20201
518	21749	20157
519	21773	20099
520	21833	20073
521	21855	20013
522	21876	19952
523	21902	19896
524	21963	19871
525	22016	19840
526	22040	19782
527	22064	19724
528	22087	19666
529	22116	19613
530	22141	19556
531	22190	19520
532	22211	19461
533	22233	19402
534	22260	19347
535	22285	19291
536	22310	19235
537	22336	19181
538	22361	19125
539	22392	19074
540	22421	19023
541	22456	18976
542	22487	18925
543	22563	18913
544	22683	18937
545	22713	18886
546	22776	18862
547	22808	18812
548	22861	18780
549	22883	18723
550	22925	18681
551	22975	18646
552	22999	18590
553	23103	18599
554	23161	18570
555	23185	18514
556	23238	18482
557	23295	18452
558	23316	18394
559	23356	18351
560	23389	18303
561	23412	18246
562	23432	18188
563	23463	18138
564	23503	18095
565	23525	18039
566	23573	18002
567	23596	17946
568	23627	17897
569	23650	17841
570	23703	17808
571	23754	17774
572	23778	17719
573	23828	17684
574	23877	17648
575	23904	17596
576	23930	17543
577	23953	17488
578	23993	17446
579	24019	17393
580	24041	17338
581	24074	17290
582	24097	17236
583	24152	17204
584	24176	17150
585	24215	17107
586	24244	17057
587	24268	17004
588	24290	16949
589	24348	16920
590	24404	16889
591	24439	16843
592	24464	16790
593	24488	16737
594	24540	16703
595	24562	16649
596	24605	16609
597	24661	16578
598	24686	16526
599	24720	16480
600	24745	16428
601	24778	16381
602	24839	16353
603	24865	16302
604	24921	16271
605	24965	16231
606	25026	16203
607	25100	16183
608	25129	16133
